"","address","lon","lat"
"1","Priyanka City, Sector 12, Uttara, Dhaka",90.3797847,23.8685318
"2","Modhubag, Boro Maghbazar, Maghbazar, Dhaka",90.4089838,23.7493571
"3","Block G, Bashundhara R-A, Dhaka",90.433141,23.8244052
"4","Sector 5, Uttara, Dhaka",90.3907284,23.8646732
"5","Block J, Banasree, Dhaka",90.433141,23.7619353
"6","Dhanmondi, Dhaka",90.3742307,23.7461495
"7","Block K, Baridhara, Dhaka",90.420766,23.8028731
"8","Mohammadpur, Dhaka",90.3588734,23.7661639
"9","Block F, Bashundhara R-A, Dhaka",90.4349092,23.820682
"10","Madhya Ajampur, Dakshin Khan, Dhaka",90.4081003,23.8642566
"11","Avenue 10, Mirpur DOHS, Mirpur, Dhaka",90.3753218,23.8372676
"12","West Shewrapara, Mirpur, Dhaka",90.3736584,23.7881199
"13","Gulshan 1, Gulshan, Dhaka",90.4160527,23.7820624
"14","West Kazipara, Mirpur, Dhaka",90.3707161,23.797795
"15","Nikunja 2, Nikunja, Dhaka",90.4178201,23.8318836
"16","Sector 13, Uttara, Dhaka",90.3877848,23.8713728
"17","Sector 10, Uttara, Dhaka",90.3883735,23.884012
"18","Block B, Bashundhara R-A, Dhaka",90.4272477,23.8140104
"19","Block D, Bashundhara R-A, Dhaka",90.433141,23.8154814
"20","Block B, Section 12, Mirpur, Dhaka",90.3689505,23.7572153
"21","Middle Paikpara, Mirpur, Dhaka",90.3589489,23.7903857
"22","Gulshan 2, Gulshan, Dhaka",90.4143085,23.7947536
"23","Mohakhali DOHS, Dhaka",90.3954387,23.78286
"24","South Monipur, Mirpur, Dhaka",90.3671856,23.7948286
"25","Rajabazar, Tejgaon, Dhaka",90.3860187,23.7531346
"26","Rokonpur, Kolta Bazar, Sutrapur, Dhaka",90.4140721,23.7101528
"27","Banani, Dhaka",90.4066082,23.7936706
"28","Sector 11, Uttara, Dhaka",90.3901397,23.8773155
"29","PC Culture Housing, Mohammadpur, Dhaka",90.3518903,23.7680904
"30","Sector 4, Uttara, Dhaka",90.4042719,23.8624077
"31","Block H, Bashundhara R-A, Dhaka",90.4390353,23.8258759
"32","Khilgaon, Dhaka",90.4643906,23.7566389
"33","Block E, Banasree, Dhaka",90.3658778,23.7548025
"34","Baitul Aman Housing Society, Adabor, Dhaka",90.3564904,23.7708309
"35","Talertek, Khilkhet, Dhaka",90.4298538,23.8280617
"36","Shah Ali Bag, Section 1, Mirpur, Dhaka",90.3571841,23.797083
"37","Sher-E-Bangla Road, Dhanmondi, Dhaka",90.3668659,23.7407955
"38","Sector 7, Uttara, Dhaka",90.3972052,23.871349
"39","Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",90.3515962,23.7640006
"40","Kallyanpur, Mirpur, Dhaka",90.3595372,23.7822036
"41","Section 1, Mirpur, Dhaka",90.3489496,23.8015639
"42","Mohammadi Housing LTD., Mohammadpur, Dhaka",90.3518932,23.7627256
"43","Block G, Section 1, Mirpur, Dhaka",90.3527725,23.8011834
"44","Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",90.3836866,23.7480491
"45","Sector 12, Uttara, Dhaka",90.380721,23.8713904
"46","Block C, Mansurabad Housing Society, Adabor, Dhaka",90.3537052,23.7739826
"47","Sector 6, Uttara, Dhaka",90.4042719,23.8713307
"48","Block I, Bashundhara R-A, Dhaka",90.4396248,23.8206687
"49","Khilkhet, Dhaka",90.4243013,23.8311224
"50","Sector 3, Uttara, Dhaka",90.3972052,23.8654003
"51","Section 10, Mirpur, Dhaka",90.3713045,23.8119234
"52","Ibrahimpur, Dhaka",90.3830754,23.7940465
"53","New Market, Dhaka",90.3837664,23.7331937
