"","title","beds","bath","area","adress","type","purpose","flooPlan","url","lastUpdated","price","lon","lat","address"
"1","To Get A Trouble Free Life You Can Take Rent This 1600 Sq Ft House In Uttara 12","3","3","1,500 sqft","Priyanka City, Sector 12, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1543504-240x180.webp","https://www.bproperty.com/en/property/details-5454098.html","July 29, 2022","30 Thousand",90.3797847,23.8685318,"priyanka city, plot-474 road-03, dhaka 1230, bangladesh"
"2","Visit This 1400 Square Feet Apartment Which Is Vacant For Rent In Maghbazar","4","3","","Modhubag, Boro Maghbazar, Maghbazar, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1-240x180.webp","https://www.bproperty.com/en/property/details-1878795.html","August 8, 2021","22 Thousand",90.4089838,23.7493571,"mogbazar, dhaka, bangladesh"
"3","1500 Sq Ft Apartment Is Up For Rent In Bashundhara, Near Atimkhana Madrasa.","3","3","1,850 sqft","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1539905-240x180.webp","https://www.bproperty.com/en/property/details-1856450.html","July 20, 2022","35 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"4","1,500 sft Ready Flat For Rent In Bashundhara Residential Area","3","3","1,850 sqft","Block G, Bashundhara R-A, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1539854-240x180.webp","https://www.bproperty.com/en/property/details-1786126.html","July 20, 2022","35 Thousand",90.433141,23.8244052,"block g, dhaka, bangladesh"
"5","Apartment For Rent In Uttara - Own This Prominently Set Up Home","3","3","1,500 sqft","Sector 5, Uttara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1517099-240x180.webp","https://www.bproperty.com/en/property/details-1965760.html","March 18, 2022","30 Thousand",90.3907284,23.8646732,"sector 5, dhaka 1230, bangladesh"
"6","Check This Beautiful 1250 Sq Ft Flat For Rent At Banasree","3","3","1,500 sqft","Block J, Banasree, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1257631-400x300.webp","https://www.bproperty.com/en/property/details-2038791.html","January 14, 2023","20 Thousand",90.433141,23.7619353,"banasree, dhaka, bangladesh"
"7","At Hatirpool 1180 Square Feet Flat For Rent Close To Dhanmondi Ideal College","3","3","1,500 sqft","Dhanmondi, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1456191-400x300.webp","https://www.bproperty.com/en/property/details-2064409.html","January 14, 2023","28 Thousand",90.3742307,23.7461495,"dhanmondi, dhaka 1205, bangladesh"
"8","Check This Apartment For Rent Which Is Covering An Area Of 3000 Sq Ft In Baridhara","3","4","1,300 sqft","Block K, Baridhara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1531849-400x300.webp","https://www.bproperty.com/en/property/details-5218928.html","August 18, 2021","2 Lakh",90.420766,23.8028731,"baridhara k block, dhaka 1212, bangladesh"
"9","See, this 1807 SQ Ft beautiful apartment and make it your new home which is up for rent in Mohammadpur nearby Baitus Salam Jame Masjid.","3","4","2,000 sqft","Mohammadpur, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/1526955-400x300.webp","https://www.bproperty.com/en/property/details-1778793.html","January 23, 2023","47 Thousand",90.3588734,23.7661639,"mohammadpur, dhaka, bangladesh"
"10","Near Baridhara Jame Masjid A Well Planned Flat For Rent Is Available In Baridhara","4","4","2,200 sqft","Block K, Baridhara, Dhaka","Apartment","For Rent","https://images-cdn.bproperty.com/thumbnails/8464-240x180.webp","https://www.bproperty.com/en/property/details-1877697.html","September 12, 2022","1.65 Lakh",90.420766,23.8028731,"baridhara k block, dhaka 1212, bangladesh"
