"","City","State.short","State.full","County","City.alias","address","lon","lat"
"1","Arroyo","PR","Puerto Rico","ARROYO","Arroyo","Arroyo, Puerto Rico",-66.0545823,17.9925084
"2","Mercedita","PR","Puerto Rico","PONCE","Ponce","Ponce, Puerto Rico",-66.6140616,18.0110768
"3","Ponce","PR","Puerto Rico","PONCE","Ponce","Ponce, Puerto Rico",-66.6140616,18.0110768
"4","Salinas","PR","Puerto Rico","SALINAS","Salinas","Salinas, Puerto Rico",-66.2605176,18.0022251
"5","Juncos","PR","Puerto Rico","JUNCOS","Juncos","Juncos, Puerto Rico",-65.920997,18.2274558
"6","Coto Laurel","PR","Puerto Rico","PONCE","Ponce","Ponce, Puerto Rico",-66.6140616,18.0110768
"7","Barre","MA","Massachusetts","WORCESTER","Barre","Barre, Massachusetts",-72.1051002,42.4229047
"8","Ware","MA","Massachusetts","HAMPSHIRE","Ware","Ware, Massachusetts",-72.2398566,42.2598457
"9","Wheelwright","MA","Massachusetts","WORCESTER","Wheelwright","Wheelwright, Massachusetts",-72.1393918,42.3510812
"10","Becket","MA","Massachusetts","BERKSHIRE","Becket","Becket, Massachusetts",-73.0829366,42.3319904
"11","Berkshire","MA","Massachusetts","BERKSHIRE","Berkshire","Berkshire, Massachusetts",-73.1821623,42.311782
"12","Cheshire","MA","Massachusetts","BERKSHIRE","Cheshire","Cheshire, Massachusetts",-73.162881,42.5620278
"13","Savoy","MA","Massachusetts","BERKSHIRE","Savoy","Savoy, Massachusetts",-73.0287112,42.5667512
"14","Stow","MA","Massachusetts","MIDDLESEX","Stow","Stow, Massachusetts",-71.5056199,42.4370374
"15","Accord","MA","Massachusetts","PLYMOUTH","Accord","Accord, Massachusetts",-70.8836552,42.1745451
"16","Carver","MA","Massachusetts","PLYMOUTH","Carver","Carver, Massachusetts",-70.7625376,41.8834363
"17","Onset","MA","Massachusetts","PLYMOUTH","Onset","Onset, Massachusetts",-70.6578104,41.7417714
"18","Sandwich","MA","Massachusetts","BARNSTABLE","Sandwich","Sandwich, Massachusetts",-70.4939317,41.7589615
"19","Wakefield","RI","Rhode Island","WASHINGTON","Narragansett","Narragansett, Rhode Island",-71.449503,41.4500844
"20","Narragansett","RI","Rhode Island","WASHINGTON","Narragansett","Narragansett, Rhode Island",-71.449503,41.4500844
"21","Narragansett","RI","Rhode Island","WASHINGTON","Galilee","Galilee, Rhode Island",-71.4925628,41.380244
"22","Westerly","RI","Rhode Island","WASHINGTON","Westerly","Westerly, Rhode Island",-71.8272871,41.3775987
"23","Canterbury","NH","New Hampshire","MERRIMACK","Canterbury","Canterbury, New Hampshire",-71.5652802,43.3372738
"24","Center Sandwich","NH","New Hampshire","CARROLL","Sandwich","Sandwich, New Hampshire",-71.4104696,43.7908703
"25","Hill","NH","New Hampshire","MERRIMACK","Hill","Hill, New Hampshire",-71.7045908,43.5256454
